data,campeonatoAno,ginasio,fase,timeCasa,pontosTimeCasa,acertos3PtsTimeCasa,acertos2PtsTimeCasa,LanceLivreTimeCasa,rebotesTimeCasa,assistsTimeCasa,RoubadasTimeCasa,TocosTimeCasa,FaltasTimeCasa,timeFora,pontosTimeFora,acertos3PtsTimeFora,acertos2PtsTimeFora,LanceLivreTimeFora,rebotesTimeFora,assistsTimeFora,RoubadasTimeFora,TocosTimeFora,FaltasTimeFora
08/05/2017,2016/2017,Poliesportivo Henrique Villaboim                                    ,SEMI,Pinheiros,98,0,0,0,0,0,0,0,0,Bauru,86,0,0,0,0,0,0,0,0
20/02/2015,2014/2015,Gin. Felipe Karam                                    ,2º TURNO,Rio Claro,87,14,15,15,23,17,11,0,24,Paulistano,90,9,20,23,32,14,10,1,20
05/05/2017,2016/2017,Tijuca Tênis Clube                                    ,QUARTAS,Flamengo,75,,,,,,,,,Pinheiros,78,,,,,,,,
02/05/2017,2016/2017,Gin. Poliesportivo de Cajazeiras                                    ,QUARTAS,Vitória,82,0,0,0,0,0,0,0,0,Mogi,80,0,0,0,0,0,0,0,0
02/05/2017,2016/2017,Gin. Antonio Prado Jr                                    ,QUARTAS,Paulistano,87,0,0,0,0,0,0,0,0,Franca,105,0,0,0,0,0,0,0,0
29/04/2017,2016/2017,Prof. Hugo Ramos                                    ,QUARTAS,Mogi,88,0,0,0,0,0,0,0,0,Vitória,69,0,0,0,0,0,0,0,0
01/05/2017,2016/2017,Poliesportivo H. Villaboim                                    ,QUARTAS,Pinheiros,102,0,0,0,0,0,0,0,0,Flamengo,98,0,0,0,0,0,0,0,0
30/04/2017,2016/2017,Gin. Panela de Pressão                                    ,QUARTAS,Bauru,80,0,0,0,0,0,0,0,0,Brasília,78,0,0,0,0,0,0,0,0
28/04/2017,2016/2017,Ginásio Pedrocão                                    ,QUARTAS,Franca,66,0,0,0,0,0,0,0,0,Paulistano,69,0,0,0,0,0,0,0,0
13/02/2015,2014/2015,Ginásio Pedrocão                                    ,2º TURNO,Minas,72,10,11,20,40,15,10,1,30,Paulistano,69,3,19,22,40,10,14,3,28
27/04/2017,2016/2017,Prof. Hugo Ramos                                    ,QUARTAS,Mogi,83,0,0,0,0,0,0,0,0,Vitória,87,0,0,0,0,0,0,0,0
13/02/2015,2014/2015,Ginásio Pedrocão                                    ,2º TURNO,Franca,72,7,19,13,39,12,10,4,24,Rio Claro,61,5,17,12,29,16,10,2,24
13/02/2015,2014/2015,Gin. Panela de Pressão                                    ,2º TURNO,Bauru,90,15,16,13,37,18,6,0,20,Limeira,89,11,19,18,22,22,11,0,16
12/02/2015,2014/2015,Prof. Hugo Ramos                                    ,2º TURNO,Mogi,108,10,22,34,33,19,11,1,29,Brasília,99,15,14,26,23,24,8,2,38
12/02/2015,2014/2015,Poliesportivo H. Villaboim                                    ,2º TURNO,Palmeiras,85,8,26,9,25,23,18,1,20,Flamengo,89,12,19,15,40,19,8,1,16
12/02/2015,2014/2015,Poliesportivo H. Villaboim                                    ,2º TURNO,Pinheiros,99,16,19,13,32,20,7,6,22,Macaé,69,4,21,15,32,10,7,2,22
12/02/2015,2014/2015,Gin. Linneu de Moura                                    ,2º TURNO,São José,70,8,20,6,40,18,8,9,15,Basq. Cearense,78,7,25,7,37,16,10,7,14
11/02/2015,2014/2015,Ginásio Pedrocão                                    ,2º TURNO,Franca,86,7,19,27,24,13,10,4,27,Limeira,92,13,17,19,30,17,12,3,30
11/02/2015,2014/2015,Ginásio Homero Santos                                    ,2º TURNO,Uberlândia,77,7,17,22,31,14,7,1,28,Paulistano,82,9,19,17,43,14,8,0,23
26/04/2017,2016/2017,Tijuca Tênis Clube                                    ,QUARTAS,Flamengo,79,0,0,0,0,0,0,0,0,Pinheiros,90,0,0,0,0,0,0,0,0
11/02/2015,2014/2015,Ginásio Homero Santos                                    ,2º TURNO,Minas,89,9,21,20,35,19,5,1,23,L. Sorocabana,80,6,21,20,26,11,12,2,21
25/04/2017,2016/2017,ASCEB                                    ,QUARTAS,Brasília,76,0,0,0,0,0,0,0,0,Bauru,85,0,0,0,0,0,0,0,0
25/04/2017,2016/2017,Ginásio Pedrocão                                    ,QUARTAS,Franca,92,0,0,0,0,0,0,0,0,Paulistano,79,0,0,0,0,0,0,0,0
24/04/2017,2016/2017,Tijuca Tênis Clube                                    ,QUARTAS,Flamengo,83,0,0,0,0,0,0,0,0,Pinheiros,73,0,0,0,0,0,0,0,0
21/04/2017,2016/2017,Poliesportivo H. Villaboim                                    ,QUARTAS,Pinheiros,85,0,0,0,0,0,0,0,0,Flamengo,96,0,0,0,0,0,0,0,0
22/04/2017,2016/2017,Gin. Poliesportivo de Cajazeiras                                    ,QUARTAS,Vitória,83,0,0,0,0,0,0,0,0,Mogi,89,0,0,0,0,0,0,0,0
23/04/2017,2016/2017,ASCEB                                    ,QUARTAS,Brasília,73,0,0,0,0,0,0,0,0,Bauru,77,0,0,0,0,0,0,0,0
