campeonatoAno,fase,timeCasa,pontosTimeCasa,acertos2PtsTimeCasa,acertos3PtsTimeCasa,acertosTotaisTimeCasa,LancesLivresCertosTimeCasa,rebotesDefensivosTimeCasa,rebotesOfensivosTimeCasa,rebotesTotaisTimeCasa,assistsTimeCasa,RoubadasTimeCasa,ErrosTimeCasa,TocosTimeCasa,FaltasTimeCasa,EficienciaTimeCasa,Arremessos2PtsTimeCasa,Arremessos3PtsTimeCasa,ArremessosLLTimeCasa,ArremessosTotaisTimeCasa,timeFora,pontosTimeFora,acertos2PtsTimeFora,acertos3PtsTimeFora,acertosTotaisTimeFora,LancesLivresCertosTimeFora,rebotesDefensivosTimeFora,rebotesOfensivosTimeFora,rebotesTotaisTimeFora,assistsTimeFora,RoubadasTimeFora,ErrosTimeFora,TocosTimeFora,FaltasTimeFora,EficienciaTimeFora,Arremessos2PtsTimeFora,Arremessos3PtsTimeFora,ArremessosLLTimeFora,ArremessosTotaisTimeFora
2021/2022,2º TURNO,Pinheiros,92,24,12,36,8,32,12,44,19,10,11,1,20,112,40,36,11,76,Flamengo,80,12,15,27,11,31,8,39,19,3,15,1,18,85,27,38,15,65
2021/2022,2º TURNO,Caxias do Sul Basquete,57,15,7,22,6,24,10,34,14,4,13,1,20,58,31,26,10,57,Corinthians,62,12,9,21,11,24,13,37,14,5,14,2,15,65,28,28,17,56
2021/2022,2º TURNO,São Paulo,66,19,3,22,19,38,3,41,11,4,16,4,24,70,39,17,25,56,Sesi Franca,81,19,11,30,10,34,13,47,16,8,10,1,23,89,45,34,15,79
2021/2022,2º TURNO,Fortaleza B. C.,77,22,8,30,9,25,6,31,11,10,15,3,17,82,31,23,20,54,BRB/Brasília,65,15,9,24,8,24,9,33,12,5,17,1,18,62,32,24,13,56
2021/2022,2º TURNO,UNIFACISA,75,19,10,29,7,28,12,40,14,6,10,1,17,83,40,28,11,68,Cerrado Basquete,65,16,9,25,6,29,11,40,8,4,17,1,17,60,35,25,12,60
2021/2022,2º TURNO,Luvix/União Corinthians,55,15,6,21,7,20,4,24,9,4,11,1,20,39,31,25,15,56,Corinthians,74,19,7,26,15,34,14,48,8,6,18,0,18,83,34,26,16,60
2021/2022,2º TURNO,Caxias do Sul Basquete,61,17,7,24,6,26,7,33,18,14,17,3,19,74,38,23,7,61,Paulistano,54,17,4,21,8,29,13,42,10,6,24,0,16,46,36,21,14,57
2021/2022,2º TURNO,Pinheiros,83,23,10,33,7,24,11,35,17,9,15,5,20,97,42,25,10,67,123 Minas,93,21,11,32,18,24,11,35,18,10,11,2,16,110,35,31,21,66
2021/2022,2º TURNO,Corinthians,75,18,12,30,3,24,18,42,18,7,12,0,14,86,42,31,4,73,Bauru,67,18,7,25,10,24,4,28,16,7,15,1,13,72,28,22,17,50
2021/2022,2º TURNO,Fortaleza B. C.,75,24,7,31,6,33,11,44,14,14,16,5,21,89,51,22,11,73,Cerrado Basquete,77,23,7,30,10,34,9,43,13,11,19,5,12,86,47,19,18,66
2021/2022,2º TURNO,São Paulo,96,22,13,35,13,32,3,35,21,5,14,3,18,120,29,27,18,56,Rio Claro,69,20,7,27,8,21,14,35,13,6,14,1,20,61,47,23,14,70
2021/2022,2º TURNO,UNIFACISA,72,20,7,27,11,18,10,28,10,13,11,1,16,69,40,28,14,68,BRB/Brasília,90,16,17,33,7,30,6,36,22,7,20,1,14,109,29,26,12,55
2021/2022,2º TURNO,Bauru,80,13,14,27,12,19,12,31,18,5,8,0,23,80,33,35,17,68,Flamengo,92,19,13,32,15,31,20,51,24,7,10,3,20,122,27,42,23,69
2021/2022,2º TURNO,Rio Claro,83,24,8,32,11,20,9,29,22,5,12,1,24,99,39,19,14,58,UNIFACISA,72,18,7,25,15,17,16,33,12,3,14,0,19,66,35,26,19,61
2021/2022,2º TURNO,Luvix/União Corinthians,71,18,7,25,14,25,13,38,15,6,17,2,27,68,40,29,17,69,Paulistano,88,18,10,28,22,33,5,38,9,7,17,1,21,94,29,27,26,56
2021/2022,2º TURNO,Bauru,101,22,16,38,9,28,6,34,25,9,12,1,21,129,37,29,10,66,123 Minas,69,16,7,23,16,21,7,28,11,7,18,3,14,65,32,24,18,56
