campeonatoAno,fase,timeCasa,pontosTimeCasa,acertos3PtsTimeCasa,acertos2PtsTimeCasa,acertosTotaisTimeCasa,LanceLivreTimeCasa,rebotesTimeCasa,assistsTimeCasa,RoubadasTimeCasa,TocosTimeCasa,FaltasTimeCasa,EficienciaTimeCasa,Arremessos2PtsTimeCasa,Arremessos3PtsTimeCasa,ArremessosLLTimeCasa,timeFora,pontosTimeFora,acertos3PtsTimeFora,acertos2PtsTimeFora,acertosTotaisTimeFora,LanceLivreTimeFora,rebotesTimeFora,assistsTimeFora,RoubadasTimeFora,TocosTimeFora,FaltasTimeFora,EficienciaTimeFora,Arremessos2PtsTimeFora,Arremessos3PtsTimeFora,ArremessosLLTimeFora
2020/2021,1º TURNO,Paulistano,72,6,20,26,14,38,16,9,4,15,95,35,19,15,Cerrado Basquete,61,5,19,24,8,36,11,12,2,16,61,48,21,12
2020/2021,1º TURNO,Sesi Franca,94,10,24,34,16,36,24,5,2,15,110,39,28,19,Mogi,82,13,18,31,7,35,16,10,1,24,88,35,34,8
2020/2021,1º TURNO,Pinheiros,73,7,22,29,8,37,19,3,2,20,74,49,18,13,São Paulo,100,11,28,39,11,39,19,9,5,15,122,50,25,14
2020/2021,1º TURNO,Pato Basquete,85,8,22,30,17,47,19,8,2,20,99,47,21,24,UNIFACISA,76,8,17,25,18,40,16,11,3,18,79,44,24,29
2020/2021,1º TURNO,Cerrado Basquete,81,11,18,29,12,32,13,3,3,18,82,31,29,17,Bauru,83,5,28,33,12,35,16,9,2,20,97,46,20,18
2020/2021,1º TURNO,KTO/Caxias do Sul,84,12,18,30,12,41,19,9,3,20,107,37,24,16,Brasília,69,6,19,25,13,32,15,6,4,16,75,38,22,17
2020/2021,1º TURNO,Mogi,75,11,17,28,8,39,22,5,2,20,81,36,32,9,São Paulo,112,17,19,36,23,34,16,9,2,15,131,32,36,27
2020/2021,1º TURNO,UNIFACISA,69,4,23,27,11,42,16,5,1,19,81,39,23,11,Fortaleza B. C.,67,7,20,27,6,35,14,7,3,16,69,44,25,10
2020/2021,1º TURNO,Corinthians,76,11,17,28,9,30,20,8,5,20,86,28,31,12,Pinheiros,74,6,21,27,14,40,17,3,0,20,74,53,12,17
2020/2021,1º TURNO,Bauru,93,12,22,34,13,37,21,8,0,25,110,39,30,14,Brasília,70,8,14,22,18,33,12,5,0,12,58,31,22,29
2020/2021,1º TURNO,Cerrado Basquete,79,10,16,26,17,32,14,5,3,22,82,33,28,18,Sesi Franca,86,9,18,27,23,33,16,10,6,16,104,40,19,27
2020/2021,1º TURNO,Sesi Franca,80,8,18,26,20,45,19,7,3,23,104,35,23,23,Pinheiros,60,3,19,22,13,38,14,9,1,23,57,49,21,17
2020/2021,1º TURNO,Flamengo,86,10,22,32,12,46,18,6,2,20,100,36,33,17,UNIFACISA,79,10,18,28,13,36,16,12,1,24,84,41,31,18
2020/2021,1º TURNO,Brasília,57,8,13,21,7,31,16,2,3,13,58,33,24,9,Paulistano,73,11,14,25,12,46,17,6,2,17,91,38,28,14
2020/2021,1º TURNO,Pato Basquete,69,6,15,21,21,35,12,6,2,23,60,42,22,31,Fortaleza B. C.,76,9,18,27,13,44,17,6,2,26,90,35,24,17
2020/2021,1º TURNO,São Paulo,107,16,23,39,13,42,23,9,3,16,146,31,33,16,Corinthians,61,7,16,23,8,26,16,5,1,19,50,39,25,11
2020/2021,1º TURNO,VipTech CMB,54,3,19,22,7,39,14,3,0,21,46,39,25,13,Minas,90,10,24,34,12,40,17,10,1,16,111,41,24,19
2022/2023,SEMI,Sesi Franca,112,13,28,41,17,38,22,2,3,15,136,41,32,24,123 Minas,98,20,16,36,6,33,21,2,0,23,112,36,36,7
2022/2023,SEMI,Flamengo,72,11,8,19,23,38,15,7,1,20,77,24,31,26,São Paulo,80,7,22,29,15,31,17,6,2,27,91,31,27,18
2020/2021,1º TURNO,Minas,76,10,16,26,14,45,19,8,3,25,100,24,28,19,Pato Basquete,54,8,9,17,12,25,10,7,1,21,32,28,32,22
2020/2021,1º TURNO,Mogi,85,9,22,31,14,26,21,7,3,25,90,35,23,23,Bauru,90,11,19,30,19,35,15,12,1,24,101,37,25,23
2022/2023,QUARTAS,Sesi Franca,100,16,18,34,16,38,20,4,3,21,114,35,28,22,UNIFACISA,78,14,15,29,6,32,17,11,2,20,80,37,33,12
2020/2021,1º TURNO,Fortaleza B. C.,69,6,23,29,5,40,20,6,4,22,80,46,26,7,Flamengo,82,11,15,26,19,48,18,9,3,11,99,29,40,24
2022/2023,QUARTAS,Flamengo,86,11,16,27,21,36,22,6,0,25,102,28,29,29,Bauru Basket,84,15,12,27,15,33,21,5,0,24,92,31,31,21
2020/2021,1º TURNO,UNIFACISA,86,9,24,33,11,37,19,5,1,20,96,43,27,14,VipTech CMB,88,11,22,33,11,38,22,3,2,16,99,37,31,19
2020/2021,1º TURNO,Flamengo,102,14,21,35,18,44,29,5,3,16,129,33,35,28,Minas,68,7,21,28,5,32,21,7,2,21,71,44,22,12
2020/2021,1º TURNO,VipTech CMB,61,9,11,20,12,44,15,1,5,22,65,26,35,15,Fortaleza B. C.,74,6,22,28,12,37,18,6,4,18,88,42,21,21
2022/2023,SEMI,São Paulo,96,19,14,33,11,30,21,9,0,20,118,22,40,12,Flamengo,79,12,16,28,11,43,23,6,0,16,91,28,41,15
2022/2023,QUARTAS,Sesi Franca,83,10,19,29,15,34,14,6,1,26,88,33,25,17,UNIFACISA,74,5,18,23,23,27,11,11,0,22,71,30,22,30
2022/2023,QUARTAS,123 Minas,71,7,21,28,8,47,16,6,2,21,90,41,23,11,Paulistano,67,9,15,24,10,43,10,4,4,19,63,40,35,15
2022/2023,QUARTAS,São Paulo,85,9,18,27,22,37,19,6,0,19,92,36,30,28,Pinheiros,73,6,22,28,11,48,14,4,2,22,79,37,31,14
2022/2023,QUARTAS,123 Minas,68,5,20,25,13,29,17,1,5,20,72,33,23,16,Paulistano,83,6,28,34,9,42,20,8,2,20,100,50,24,17
2022/2023,QUARTAS,UNIFACISA,92,9,20,29,25,26,16,2,0,21,97,32,24,29,Sesi Franca,90,17,15,32,9,33,24,3,1,29,108,34,30,10
2022/2023,QUARTAS,Pinheiros,60,4,16,20,16,38,14,10,0,17,61,37,20,23,São Paulo,77,15,13,28,6,36,14,10,2,24,86,27,34,10
2022/2023,QUARTAS,Bauru Basket,91,12,26,38,3,26,23,8,2,21,106,38,31,6,Flamengo,80,14,14,28,10,36,18,2,2,16,84,26,33,13
2022/2023,QUARTAS,Paulistano,68,6,19,25,12,34,8,11,2,22,65,41,31,16,123 Minas,77,7,20,27,16,37,17,5,1,19,98,27,23,16
2022/2023,QUARTAS,UNIFACISA,73,9,19,28,8,29,15,3,1,22,72,39,27,13,Sesi Franca,86,14,15,29,14,40,14,4,1,19,102,29,29,18
2022/2023,QUARTAS,Bauru Basket,76,9,16,25,17,25,9,11,4,20,74,32,29,19,Flamengo,85,11,18,29,16,36,16,8,1,23,96,30,23,19
2022/2023,QUARTAS,Pinheiros,115,12,31,43,17,37,23,5,2,25,131,47,28,25,São Paulo,107,12,25,37,21,29,20,7,0,25,116,41,25,29
2022/2023,QUARTAS,Sesi Franca,91,12,20,32,15,42,13,4,2,20,98,35,36,18,UNIFACISA,100,17,19,36,11,37,13,8,0,20,107,39,34,17
2022/2023,QUARTAS,Paulistano,80,8,18,26,20,41,15,5,1,22,89,43,25,21,123 Minas,76,8,19,27,14,34,16,5,2,21,88,35,24,16
2022/2023,QUARTAS,São Paulo,92,12,17,29,22,41,17,5,2,26,112,26,32,27,Pinheiros,77,10,13,23,21,44,13,7,2,25,77,45,26,30
2022/2023,QUARTAS,123 Minas,85,10,20,30,15,39,17,7,1,20,99,35,27,19,Paulistano,82,12,19,31,8,41,14,8,5,23,88,43,33,14
2022/2023,QUARTAS,Flamengo,90,18,14,32,8,44,22,3,4,14,120,25,31,11,Bauru Basket,58,6,16,22,8,24,9,11,2,18,50,35,27,14
2022/2023,OITAVAS,Paulistano,92,9,25,34,15,37,16,7,7,21,110,37,28,20,Pato Basquete,78,6,21,27,18,32,9,7,2,24,75,40,27,19
2022/2023,OITAVAS,Corinthians,70,6,18,24,16,36,13,5,4,17,77,34,26,17,UNIFACISA,81,9,21,30,12,32,16,9,3,20,96,39,24,16
2022/2023,OITAVAS,Pinheiros,78,5,23,28,17,50,13,8,4,23,92,53,21,22,Caxias do Sul Basquete,60,5,14,19,17,37,14,5,7,24,59,37,19,26
2022/2023,OITAVAS,Bauru Basket,71,9,15,24,14,40,18,7,1,19,86,30,28,17,Oscar São José Basketball,66,9,13,22,13,35,14,7,2,20,65,32,25,21
2022/2023,OITAVAS,Bauru Basket,79,10,18,28,13,32,22,11,0,21,92,33,29,17,Oscar São José Basketball,83,9,21,30,14,29,19,3,3,17,93,32,22,20
2022/2023,OITAVAS,Paulistano,90,16,18,34,6,42,20,10,2,17,114,30,36,8,Pato Basquete,57,9,10,19,10,28,10,10,0,14,44,24,34,13
2022/2023,OITAVAS,UNIFACISA,95,9,27,36,14,38,15,4,1,23,113,37,26,16,Corinthians,77,10,16,26,15,30,14,7,2,17,77,36,25,21
2022/2023,OITAVAS,Caxias do Sul Basquete,59,6,18,24,5,37,8,6,1,18,49,40,31,8,Pinheiros,73,7,22,29,8,49,21,9,1,20,101,43,21,10
2022/2023,OITAVAS,Pato Basquete,82,7,20,27,21,45,13,6,2,22,95,37,23,28,Paulistano,70,9,13,22,17,34,9,5,1,27,58,29,32,27
2022/2023,OITAVAS,Oscar São José Basketball,77,10,20,30,7,29,24,5,1,18,90,36,25,11,Bauru Basket,95,13,19,32,18,31,21,10,2,17,122,34,24,20
2022/2023,2º TURNO,Corinthians,90,8,25,33,16,36,22,6,5,23,108,40,32,17,BRB/Brasília,73,6,16,22,23,42,15,5,2,22,76,42,19,27
2022/2023,2º TURNO,Corinthians,78,8,21,29,12,41,17,4,4,18,95,36,25,17,Cerrado,66,6,20,26,8,42,15,8,1,16,70,38,32,14
2022/2023,2º TURNO,União Corinthians,91,10,23,33,15,55,25,4,3,19,117,37,37,27,Fortaleza B. C.,75,7,19,26,16,42,15,5,1,26,78,41,34,19
2022/2023,2º TURNO,Paulistano,113,10,31,41,21,43,21,6,3,22,143,43,23,25,BRB/Brasília,71,5,18,23,20,26,14,7,0,23,59,39,24,22
2022/2023,2º TURNO,Rio Claro,80,9,18,27,17,39,22,7,1,19,87,37,31,24,Oscar São José Basketball,92,9,26,35,13,45,29,6,0,22,117,47,26,17
2022/2023,2º TURNO,Caxias do Sul Basquete,66,10,14,24,8,32,13,8,3,19,68,33,28,11,Fortaleza B. C.,77,11,18,29,8,35,16,10,0,18,92,37,22,10
2022/2023,2º TURNO,Paulistano,99,13,22,35,16,52,21,3,6,22,136,36,25,21,São Paulo,57,5,15,20,12,28,10,7,0,20,37,39,31,19
2022/2023,2º TURNO,Sesi Franca,83,13,16,29,12,31,11,5,2,21,92,27,26,13,Flamengo,70,9,16,25,11,31,13,5,0,18,66,25,38,14
2022/2023,2º TURNO,Pato Basquete,98,12,24,36,14,36,18,12,4,21,121,35,32,19,Cerrado,91,12,19,31,17,27,13,10,2,15,96,30,30,20
2022/2023,2º TURNO,Bauru Basket,81,10,20,30,11,42,21,9,1,18,98,38,28,16,União Corinthians,61,7,17,24,6,40,17,7,2,17,60,32,31,14
2022/2023,2º TURNO,Bauru Basket,89,5,25,30,24,45,14,5,2,20,108,44,19,26,Caxias do Sul Basquete,69,10,14,24,11,23,11,5,1,22,59,25,28,20
2022/2023,2º TURNO,Rio Claro,53,4,13,17,15,39,11,6,1,23,41,39,21,22,Flamengo,100,10,29,39,12,49,16,10,4,17,123,43,31,22
2022/2023,2º TURNO,Fortaleza B. C.,85,10,21,31,13,30,11,6,1,19,83,38,28,19,123 Minas,94,17,13,30,17,41,15,3,1,16,106,27,35,19
2022/2023,2º TURNO,Pinheiros,94,12,24,36,10,44,17,9,1,18,111,42,31,14,União Corinthians,70,11,9,20,19,31,15,8,1,18,63,21,35,27
2022/2023,2º TURNO,Pato Basquete,91,11,24,35,10,41,25,11,1,30,119,38,32,14,BRB/Brasília,64,8,8,16,24,38,10,6,0,20,49,26,26,34
2022/2023,2º TURNO,Cerrado,68,12,12,24,8,36,17,5,1,19,62,28,38,12,Sesi Franca,106,12,24,36,22,38,31,12,1,16,143,34,32,28
2022/2023,2º TURNO,UNIFACISA,79,10,14,24,21,37,15,8,3,16,90,33,25,27,123 Minas,69,12,13,25,7,36,13,6,2,25,68,34,28,10
